number,alpha,common,band_size,scientific,T & E*,Comments,taxonomic_order
4910,CLNU,Clark's Nutcracker,"3, 3B, 3A",Nucifraga columbiana,,,746
5610,CCSP,Clay-colored Sparrow,"0, 0A, 1C, 1",Spizella pallida,,,1035
7621,CCTH,Clay-colored Thrush,2,Turdus grayi,,,869
6120,CLSW,Cliff Swallow,"1, 1C",Petrochelidon pyrrhonota,,,773
6471,COLW,Colima Warbler,"0, 1, 1C",Leiothlypis crissalis,,,938
8630,COLK,Collared Kingfisher,"2, 3, 3B",Todiramphus chloris,,,582
3450,CBHA,Common Black Hawk,"7A, 6",Buteogallus anthracinus,,Lock-on bands recommended.,249
5331,COCA,Common Canary,"1, 1C",Serinus canaria,,,1195
5143,COCH,Common Chaffinch,"1B, 1, 1C",Fringilla coelebs,,,1145
1590,COEI,Common Eider,"M: 7B, 7, 7A
F: 7A, 7, 7B",Somateria mollissima,,,74
2190,COGA,Common Gallinule,"5A, 6, 5",Gallinula galeata,,,282
1510,COGO,Common Goldeneye,"6, 7A",Bucephala clangula,,,81
5110,COGR,Common Grackle,"M: 3, 3B
F: 3, 2A",Quiscalus quiscula,,,1120
2532,CGRE,Common Greenshank,"3, 3B, 3A",Tringa nebularia,,,322
3200,COGD,Common Ground Dove,"2, 1D",Columbina passerina,,,477
552,COGU,Common Gull,"4A, 4, 5",Larus canus,,"from Mew Gull Split, AOS 62nd Supplement (2021)",416
70,COLO,Common Loon,"8, 8A, 9",Gavia immer,,,93
1290,COME,Common Merganser,"7A, 7",Mergus merganser,,,84
300,COMU,Common Murre,"6M, 6",Uria aalge,,,379
4932,COMY,Common Myna,"3A, 3B, 3",Acridotheres tristis,,,899
4200,CONI,Common Nighthawk,"1D, 2, 1A",Chordeiles minor,"Alberta
British Columbia
Manitoba
New Brunswick
Newfoundland and Labrador
Nova Scotia
Ontario
Prince Edward Island
Québec
Saskatchewan
Yukon Territory
Northwest Territories
Nunavut",,529
4190,COPA,Common Pauraque,"2, 1D",Nyctidromus albicollis,,,531
1461,CPOC,Common Pochard,"6, 7A",Aythya ferina,,,66
4180,COPO,Common Poorwill,"1A, 1D, 2",Phalaenoptilus nuttallii,,,532
4860,CORA,Common Raven,"7A, 6, 7",Corvus corax,,,758
5280,CORE,Common Redpoll,"0, 0A",Acanthis flammea,,,1184
2750,CRPL,Common Ringed Plover,"1A, 1B",Charadrius hiaticula,,,308
5161,CORO,Common Rosefinch,"1B, 1, 1C",Carpodacus erythrinus,,,1177
2631,COSA,Common Sandpiper,"1B, 1A",Actitis hypoleucos,,,317
2290,COSN,Common Snipe,"3, 3B",Gallinago gallinago,,"This is the Eurasian species, not Wilson's Snipe.",362
700,COTE,Common Tern,"2A, 2",Sterna hirundo,,Hard metal bands recommended.,453
725,HCRT,Common Tern X Roseate Tern Hybrid,2,,,Sterna hirundo X S. dougallii.,452
8081,COMW,Common Waxbill,"0A, 0",Estrilda astrild,,,1206
6810,COYE,Common Yellowthroat,"0, 1C, 0A, 1",Geothlypis trichas,,,948
